Stim	StimType	onset
steer	2	11.8690849983
wail	3	14.3994992288
curl	5	16.9349151345
#####	4	19.470299044
#####	4	22.00710256
#####	4	24.5432426069
+	6	27.0764984651
#####	4	29.6119041079
corn	5	32.1473121655
rouge	5	34.6839490596
moan	3	37.2194959688
grass	5	39.7556052269
#####	4	42.2895622855
#####	4	44.8243418888
#####	4	47.3534364256
tread	1	49.878442689
slur	3	52.4151544422
strut	1	54.951268228
bide	5	57.4854562029
cone	5	60.0200706936
screen	5	62.5554576216
crow	5	65.0915185835
#####	4	67.6275001585
#####	4	70.1636217925
#####	4	72.6970690243
mud	5	75.2324550468
mask	5	77.7678685377
#####	4	80.3033073842
nut	5	82.839883908
bloom	5	85.375985318
tail	5	87.909474809
rail	5	90.4449076184
whip	2	92.9811708206
knead	2	95.5156983782
#####	4	98.0522401891
swing	2	100.589151164
jive	1	103.121887234
stir	2	105.657288651
bless	3	108.193345387
haunt	5	110.728110804
snow	5	113.264602809
#####	4	115.800711162
stun	5	118.334309923
plod	1	120.86974394
clump	5	123.405115171
#####	4	125.940529266
#####	4	128.476940375
pale	5	131.013056274
+	6	133.546738648
#####	4	136.08298223
#####	4	138.617530615
file	2	141.152935051
+	6	143.689744
+	6	146.225424327
knit	2	148.759150168
+	6	151.29519
+	6	153.829943041
bore	5	156.365355928
grate	2	158.901676784
curve	5	161.437776383
sprout	5	163.971544784
brass	5	166.50696884
puce	5	169.042366333
#####	4	171.573793274
tube	5	174.097569192
irk	5	176.633446024
#####	4	179.171611493
clap	2	181.702701871
slot	5	184.23811506
+	6	186.773496554
#####	4	189.309702405
earn	5	191.845805022
pat	2	194.379698088
grip	2	196.915104939
calm	5	199.450515411
+	6	201.987485851
+	6	204.522055667
sneeze	3	207.058255481
tone	5	209.592786962
mope	5	212.127523099
#####	4	214.662940212
chill	5	217.19898095
#####	4	219.734414665
bone	5	222.270712882
cloud	5	224.804554935
#####	4	227.339967219
goof	5	229.875352638
lame	1	232.410757375
flee	1	234.946796302
+	6	237.483230352
scuff	1	240.016950759
score	5	242.552358515
roll	5	245.08070929
cash	5	247.606481954
bash	2	250.142449946
whine	3	252.678967005
+	6	255.212712767
snake	5	257.748114486
jade	5	260.283488133
leap	1	262.818915207
#####	4	265.354809849
blond	5	267.891784816
#####	4	270.429080048
#####	4	272.960493708
grunt	3	275.496553462
chrome	5	278.031308918
climb	1	280.567172771
#####	4	283.10383985
#####	4	285.637532487
#####	4	288.172922131
#####	4	290.701745908
#####	4	293.239293789
#####	4	295.762852072
solve	5	298.29980108
#####	4	300.837108989
wipe	2	303.368655766
suck	3	305.904052957
snort	3	308.439456788
#####	4	310.975156736
#####	4	313.511989532
#####	4	316.049452291
#####	4	318.581067588
#####	4	321.11647323
#####	4	323.651890343
#####	4	326.189123696
chew	3	328.724403768
hiss	3	331.26182789
dirt	5	333.79416431
gasp	3	336.328887165
flirt	5	338.864295524
scoop	2	341.400363731
+	6	343.936816496
wade	1	346.474191416
blow	3	349.005906927
kiss	3	351.541300496
+	6	354.076713685
+	6	356.612117819
slink	1	359.149234052
#####	4	361.686586938
#####	4	364.21832388
#####	4	366.75371926
#####	4	369.29100604
+	6	371.82453779
#####	4	374.361632895
#####	4	376.899553562
gnaw	3	379.430741437
#####	4	381.966139232
bite	3	384.50216699
#####	4	387.036942368
#####	4	389.574052866
#####	4	392.111280785
dunk	2	394.643154164
hop	1	397.178546224
yawn	3	399.713953678
+	6	402.249358113
roar	3	404.786474045
burp	3	407.323622879
crawl	1	409.855550592
+	6	412.392811714
crown	5	414.926367914
+	6	417.461773859
#####	4	419.999096257
+	6	422.535991536
blame	3	425.067968451
#####	4	427.604045712
spare	5	430.138786075
#####	4	432.674184172
braid	2	435.211288029
star	5	437.748345402
cave	5	440.280388422
brown	5	442.815789839
#####	4	445.351200915
slide	1	447.886595691
#####	4	450.423711322
sprint	1	452.960691119
#####	4	455.493446507
prick	2	458.028209207
cope	5	460.564248436
#####	4	463.099020795
cube	5	465.636323271
#####	4	468.173054644
bird	5	470.705225649
hole	5	473.24062616
#####	4	475.776023955
+	6	478.31142024
#####	4	480.848568169
loop	5	483.385427829
pink	5	485.917633547
bowl	5	488.453029832
#####	4	490.988436682
seize	2	493.523833269
#####	4	496.060954031
hate	5	498.597773847
#####	4	501.130067705
munch	3	503.665456143
sigh	3	506.200848806
#####	4	508.736266523
fail	5	511.273365249
dare	5	513.810167859
+	6	516.342471377
